PID,Description,Units,Data Type,Multiply,Divide,Add
0x4201,Ambient pressure,hPa,unsigned int,10,256,0
0x4205,Boost pressure,hPa,unsigned int,20,256,0
0x4206,Mass flow through throttle valve bank 1,kg/h,unsigned int,1,32,0
0x4300,Coolant temperature,Â°C,signed int,0.1,1,-273.14
0x4306,Confirmed target speed electr. water pump,1/min,unsigned char,1,1,0
0x4307,Status message electr. water pump,-,unsigned char,1,1,0
0x4310,Target temperature coolant,-,signed int,1,100,0
0x4402,Oil temperature after filter,Â°C,unsigned int,0.75,1,-48
0x4403,Fuel consumption since the last oil change,-,unsigned long,1,8192,0
0x4404,Kilometers of oil,km,unsigned int,10,1,0
0x4408,Oil temperature unfiltered,Â°C,signed int,0.1,1,-273.14
0x4409,Unfiltered oil level,mm,signed int,0.004,1,0
0x4411,Remaining distance derived from fuel consumption,-,signed int,1,0.1,0
0x4412,Oil life,mth,unsigned int,1,1,0
0x4421,Oil pressure regulator P component,-,signed int,2,65536,0
0x4422,Oil pressure regulator I component,-,signed int,2,65536,0
0x4423,Oil pressure regulator D component,-,signed int,2,65536,0
0x4425,Oil temperature in the sump,Â°C,signed int,1,10,0
0x4426,"Actual operating mode, oil pressure control",-,unsigned char,1,1,0
0x442C,Raw value oil level,mm,unsigned char,1,1,0
0x442F,Relative engine oil level in cl above minimum,cl,unsigned char,1,1,0
0x4436,Actual oil pressure value (absolute pressure),hPa,unsigned int,1,1,0
0x4501,Integrated offset stroke adaptation,-,signed int,0.001,1,0
0x4505,Target angle (inlet VANOS),Â° KW,signed int,1,128,0
0x4506,Angle of the inlet NW flanks relative to the crankshaft,Â° KW,signed int,0.02197266,1,0
0x4507,Angle of the outlet NW flanks relative to the crankshaft,Â° KW,signed int,0.02197266,1,0
0x4516,Status VVT stop learning (internal),-,unsigned char,1,1,0
0x4520,Effective engine power,-,unsigned int,1000,65536,0
0x4521,Fuel mass flow,kg/h,unsigned int,0.1,1,0
0x4522,"Fuel mass homogeneous as target value, cylinder 1",mg/stroke,unsigned int,1389,65535,0
0x4523,"Fuel mass homogeneous as target value, cylinder 2",mg/stroke,unsigned int,1389,65535,0
0x4524,"Fuel mass homogeneous as target value, cylinder 3",mg/stroke,unsigned int,1389,65535,0
0x4525,"Fuel mass homogeneous as target value, cylinder 4",mg/stroke,unsigned int,1389,65535,0
0x4526,"Fuel mass homogeneous as target value, cylinder 5",mg/stroke,unsigned int,1389,65535,0
0x4527,"Fuel mass homogeneous as target value, cylinder 6",mg/stroke,unsigned int,1389,65535,0
0x452A,Setpoint outlet spread variable NWS,Â° KW,signed int,1,10,0
0x452B,Setpoint inlet spread variable NWS,Â° KW,signed int,1,10,0
0x452C,Actual value of the outlet spread,Â° KW,signed int,1,10,0
0x452E,Actual value inlet spread,Â° KW,signed int,1,10,0
0x4530,"Injection mode, cylinder 1",-,unsigned char,1,1,0
0x4531,"Injection mode, cylinder 2",-,unsigned char,1,1,0
0x4532,"Injection mode, cylinder 3",-,unsigned char,1,1,0
0x4533,"Injection mode, cylinder 4",-,unsigned char,1,1,0
0x4534,"Injection mode, cylinder 5",-,unsigned char,1,1,0
0x4535,"Injection mode, cylinder 6",-,unsigned char,1,1,0
0x4536,Control difference boost pressure - bank-specific bank 1,hPa,signed int,125,1000,0
0x4537,Control difference boost pressure - bank-specific bank 2,hPa,signed int,0.125,1,0
0x4600,Throttle valve angle related to the lower stop,%,signed int,0.0078125,1,0
0x4601,"Target value for throttle valve angle, based on (lower) stop",%,unsigned int,100,65536,0
0x4603,Inlet valve lift setpoint filtered,mm,unsigned int,1,1000,0
0x4604,Output current of the machine,A,signed int,1,8,0
0x4606,Current battery current,A,unsigned int,0.08,1,-200
0x460D,Correction value shutdown,%,unsigned int,0.004,1,-100
0x460E,Distance to starting ability,%,unsigned int,0.004,1,-100
0x4617,Decreased moment of the electric machine,Nm,signed int,1,10,0
0x4650,Transmission temperature,Â°C,unsigned char,0.75,1,-48
0x4653,Sensor voltage position sensor electrical wastegate,V,unsigned int,80,65536,0
0x4654,Raw value position sensor electrical wastegate,mm,signed int,64,65536,0
0x4655,Sensor voltage position sensor electrical wastegate bank 2,V,unsigned int,80,65536,0
0x4656,Raw value position sensor electrical wastegate bank 2,mm,signed int,64,65536,0
0x4659,Should position EEC,mm,signed int,0.00097656,1,0
0x465A,Should position EWG 2,mm,signed int,0.00097656,1,0
0x4683,Speed gear input,1/min,unsigned int,0.1453421,1,0
0x4703,Offset corrected probe voltage in front of Kat of a broadband lambda probe bank 2,V,unsigned int,1,2048,0
0x4712,Number of dense EVAP systems recognized by diagnosis,-,unsigned char,1,1,0
0x4807,Engine speed,1/min,signed int,1,2,0
0x4808,Target idle speed,1/min,signed int,0.5,1,0
0x480B,Normalized accelerator pedal angle,%,signed int,0.01220703,1,0
0x480C,Target filling,%,unsigned int,0.75,32,0
0x480D,Is the longitudinal slope of the roadway,Â°,unsigned int,0.05,1,-64
0x4810,Is banked road surface,Â°,unsigned int,0.05,1,-64
0x4811,Vehicle longitudinal acceleration,m/sÂ²,signed char,0.217,1,0
0x4812,Vehicle lateral acceleration (positive and negative),m/sÂ²,signed int,1,640,0
0x48D0,Estimation of the distance until the OPF is fully loaded with ash,km,unsigned int,10,1,0
